medicine name,bangla name,generic,company,category,strength,dosage form,pack size,sku,barcode,mrp,selling price,purchase price,stock quantity,unit type,batch number,expiry date,prescription required,active,image url,aliases,uses,dosage,side effects,warnings,storage,alternatives
Sitagliptin 100mg Tablet SQUA,,Sitagliptin,Square Pharmaceuticals,Diabetes,100mg,Tablet,10 units/strip,MB-00545,8801602000545,22.15,20.82,16.24,105,tablet,MB240545,2030-06-15,yes,yes,/assets/images/medicine-placeholder.svg,Sitagliptin; Diabetes; Square Pharmaceuticals,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Sitagliptin
Sitagliptin 100mg Tablet BEXI,,Sitagliptin,Beximco Pharmaceuticals,Diabetes,100mg,Tablet,10 units/strip,MB-00546,8801602000546,22.15,20.82,16.24,106,tablet,MB240546,2028-07-15,yes,yes,/assets/images/medicine-placeholder.svg,Sitagliptin; Diabetes; Beximco Pharmaceuticals,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Sitagliptin
Sitagliptin 100mg Tablet INCE,,Sitagliptin,Incepta Pharmaceuticals,Diabetes,100mg,Tablet,10 units/strip,MB-00547,8801602000547,22.15,20.82,16.24,107,tablet,MB240547,2029-08-15,yes,yes,/assets/images/medicine-placeholder.svg,Sitagliptin; Diabetes; Incepta Pharmaceuticals,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Sitagliptin
Sitagliptin 100mg Tablet RENA,,Sitagliptin,Renata Limited,Diabetes,100mg,Tablet,10 units/strip,MB-00548,8801602000548,22.15,20.82,16.24,108,tablet,MB240548,2030-09-15,yes,yes,/assets/images/medicine-placeholder.svg,Sitagliptin; Diabetes; Renata Limited,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Sitagliptin
Sitagliptin 100mg Tablet OPSO,,Sitagliptin,Opsonin Pharma,Diabetes,100mg,Tablet,10 units/strip,MB-00549,8801602000549,22.15,20.82,16.24,109,tablet,MB240549,2028-10-15,yes,yes,/assets/images/medicine-placeholder.svg,Sitagliptin; Diabetes; Opsonin Pharma,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Sitagliptin
Sitagliptin 100mg Tablet ESKA,,Sitagliptin,Eskayef Pharmaceuticals,Diabetes,100mg,Tablet,10 units/strip,MB-00550,8801602000550,22.15,20.82,16.24,110,tablet,MB240550,2029-11-15,yes,yes,/assets/images/medicine-placeholder.svg,Sitagliptin; Diabetes; Eskayef Pharmaceuticals,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Sitagliptin
Sitagliptin 100mg Tablet ACI,,Sitagliptin,ACI Limited,Diabetes,100mg,Tablet,10 units/strip,MB-00551,8801602000551,22.15,20.82,16.24,111,tablet,MB240551,2030-12-15,yes,yes,/assets/images/medicine-placeholder.svg,Sitagliptin; Diabetes; ACI Limited,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Sitagliptin
Sitagliptin 100mg Tablet ARIS,,Sitagliptin,Aristopharma,Diabetes,100mg,Tablet,10 units/strip,MB-00552,8801602000552,22.15,20.82,16.24,112,tablet,MB240552,2028-01-15,yes,yes,/assets/images/medicine-placeholder.svg,Sitagliptin; Diabetes; Aristopharma,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Sitagliptin
Sitagliptin 100mg Tablet HEAL,,Sitagliptin,Healthcare Pharmaceuticals,Diabetes,100mg,Tablet,10 units/strip,MB-00553,8801602000553,22.15,20.82,16.24,113,tablet,MB240553,2029-02-15,yes,yes,/assets/images/medicine-placeholder.svg,Sitagliptin; Diabetes; Healthcare Pharmaceuticals,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Sitagliptin
Sitagliptin 100mg Tablet DRUG,,Sitagliptin,Drug International,Diabetes,100mg,Tablet,10 units/strip,MB-00554,8801602000554,22.15,20.82,16.24,114,tablet,MB240554,2030-03-15,yes,yes,/assets/images/medicine-placeholder.svg,Sitagliptin; Diabetes; Drug International,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Sitagliptin
Sitagliptin 100mg Tablet ACME,,Sitagliptin,Acme Laboratories,Diabetes,100mg,Tablet,10 units/strip,MB-00555,8801602000555,22.15,20.82,16.24,115,tablet,MB240555,2028-04-15,yes,yes,/assets/images/medicine-placeholder.svg,Sitagliptin; Diabetes; Acme Laboratories,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Sitagliptin
Sitagliptin 100mg Tablet GENE,,Sitagliptin,General Pharmaceuticals,Diabetes,100mg,Tablet,10 units/strip,MB-00556,8801602000556,22.15,20.82,16.24,116,tablet,MB240556,2029-05-15,yes,yes,/assets/images/medicine-placeholder.svg,Sitagliptin; Diabetes; General Pharmaceuticals,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Sitagliptin
Sitagliptin 100mg Tablet BEAC,,Sitagliptin,Beacon Pharmaceuticals,Diabetes,100mg,Tablet,10 units/strip,MB-00557,8801602000557,22.15,20.82,16.24,117,tablet,MB240557,2030-06-15,yes,yes,/assets/images/medicine-placeholder.svg,Sitagliptin; Diabetes; Beacon Pharmaceuticals,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Sitagliptin
Sitagliptin 100mg Tablet POPU,,Sitagliptin,Popular Pharmaceuticals,Diabetes,100mg,Tablet,10 units/strip,MB-00558,8801602000558,22.15,20.82,16.24,118,tablet,MB240558,2028-07-15,yes,yes,/assets/images/medicine-placeholder.svg,Sitagliptin; Diabetes; Popular Pharmaceuticals,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Sitagliptin
Sitagliptin 100mg Tablet NUVI,,Sitagliptin,Nuvista Pharma,Diabetes,100mg,Tablet,10 units/strip,MB-00559,8801602000559,22.15,20.82,16.24,119,tablet,MB240559,2029-08-15,yes,yes,/assets/images/medicine-placeholder.svg,Sitagliptin; Diabetes; Nuvista Pharma,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Sitagliptin
Sitagliptin 100mg Tablet ORIO,,Sitagliptin,Orion Pharma,Diabetes,100mg,Tablet,10 units/strip,MB-00560,8801602000560,22.15,20.82,16.24,120,tablet,MB240560,2030-09-15,yes,yes,/assets/images/medicine-placeholder.svg,Sitagliptin; Diabetes; Orion Pharma,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Sitagliptin
Vildagliptin 50mg Tablet SQUA,,Vildagliptin,Square Pharmaceuticals,Diabetes,50mg,Tablet,10 units/strip,MB-00561,8801602000561,21.40,20.12,15.69,121,tablet,MB240561,2028-10-15,yes,yes,/assets/images/medicine-placeholder.svg,Vildagliptin; Diabetes; Square Pharmaceuticals,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Vildagliptin
Vildagliptin 50mg Tablet BEXI,,Vildagliptin,Beximco Pharmaceuticals,Diabetes,50mg,Tablet,10 units/strip,MB-00562,8801602000562,21.40,20.12,15.69,122,tablet,MB240562,2029-11-15,yes,yes,/assets/images/medicine-placeholder.svg,Vildagliptin; Diabetes; Beximco Pharmaceuticals,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Vildagliptin
Vildagliptin 50mg Tablet INCE,,Vildagliptin,Incepta Pharmaceuticals,Diabetes,50mg,Tablet,10 units/strip,MB-00563,8801602000563,21.40,20.12,15.69,123,tablet,MB240563,2030-12-15,yes,yes,/assets/images/medicine-placeholder.svg,Vildagliptin; Diabetes; Incepta Pharmaceuticals,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Vildagliptin
Vildagliptin 50mg Tablet RENA,,Vildagliptin,Renata Limited,Diabetes,50mg,Tablet,10 units/strip,MB-00564,8801602000564,21.40,20.12,15.69,124,tablet,MB240564,2028-01-15,yes,yes,/assets/images/medicine-placeholder.svg,Vildagliptin; Diabetes; Renata Limited,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Vildagliptin
Vildagliptin 50mg Tablet OPSO,,Vildagliptin,Opsonin Pharma,Diabetes,50mg,Tablet,10 units/strip,MB-00565,8801602000565,21.40,20.12,15.69,125,tablet,MB240565,2029-02-15,yes,yes,/assets/images/medicine-placeholder.svg,Vildagliptin; Diabetes; Opsonin Pharma,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Vildagliptin
Vildagliptin 50mg Tablet ESKA,,Vildagliptin,Eskayef Pharmaceuticals,Diabetes,50mg,Tablet,10 units/strip,MB-00566,8801602000566,21.40,20.12,15.69,126,tablet,MB240566,2030-03-15,yes,yes,/assets/images/medicine-placeholder.svg,Vildagliptin; Diabetes; Eskayef Pharmaceuticals,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Vildagliptin
Vildagliptin 50mg Tablet ACI,,Vildagliptin,ACI Limited,Diabetes,50mg,Tablet,10 units/strip,MB-00567,8801602000567,21.40,20.12,15.69,127,tablet,MB240567,2028-04-15,yes,yes,/assets/images/medicine-placeholder.svg,Vildagliptin; Diabetes; ACI Limited,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Vildagliptin
Vildagliptin 50mg Tablet ARIS,,Vildagliptin,Aristopharma,Diabetes,50mg,Tablet,10 units/strip,MB-00568,8801602000568,21.40,20.12,15.69,128,tablet,MB240568,2029-05-15,yes,yes,/assets/images/medicine-placeholder.svg,Vildagliptin; Diabetes; Aristopharma,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Vildagliptin
Vildagliptin 50mg Tablet HEAL,,Vildagliptin,Healthcare Pharmaceuticals,Diabetes,50mg,Tablet,10 units/strip,MB-00569,8801602000569,21.40,20.12,15.69,129,tablet,MB240569,2030-06-15,yes,yes,/assets/images/medicine-placeholder.svg,Vildagliptin; Diabetes; Healthcare Pharmaceuticals,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Vildagliptin
Vildagliptin 50mg Tablet DRUG,,Vildagliptin,Drug International,Diabetes,50mg,Tablet,10 units/strip,MB-00570,8801602000570,21.40,20.12,15.69,130,tablet,MB240570,2028-07-15,yes,yes,/assets/images/medicine-placeholder.svg,Vildagliptin; Diabetes; Drug International,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Vildagliptin
Vildagliptin 50mg Tablet ACME,,Vildagliptin,Acme Laboratories,Diabetes,50mg,Tablet,10 units/strip,MB-00571,8801602000571,21.40,20.12,15.69,131,tablet,MB240571,2029-08-15,yes,yes,/assets/images/medicine-placeholder.svg,Vildagliptin; Diabetes; Acme Laboratories,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Vildagliptin
Vildagliptin 50mg Tablet GENE,,Vildagliptin,General Pharmaceuticals,Diabetes,50mg,Tablet,10 units/strip,MB-00572,8801602000572,21.40,20.12,15.69,132,tablet,MB240572,2030-09-15,yes,yes,/assets/images/medicine-placeholder.svg,Vildagliptin; Diabetes; General Pharmaceuticals,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Vildagliptin
Vildagliptin 50mg Tablet BEAC,,Vildagliptin,Beacon Pharmaceuticals,Diabetes,50mg,Tablet,10 units/strip,MB-00573,8801602000573,21.40,20.12,15.69,133,tablet,MB240573,2028-10-15,yes,yes,/assets/images/medicine-placeholder.svg,Vildagliptin; Diabetes; Beacon Pharmaceuticals,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Vildagliptin
Vildagliptin 50mg Tablet POPU,,Vildagliptin,Popular Pharmaceuticals,Diabetes,50mg,Tablet,10 units/strip,MB-00574,8801602000574,21.40,20.12,15.69,134,tablet,MB240574,2029-11-15,yes,yes,/assets/images/medicine-placeholder.svg,Vildagliptin; Diabetes; Popular Pharmaceuticals,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Vildagliptin
Vildagliptin 50mg Tablet NUVI,,Vildagliptin,Nuvista Pharma,Diabetes,50mg,Tablet,10 units/strip,MB-00575,8801602000575,21.40,20.12,15.69,135,tablet,MB240575,2030-12-15,yes,yes,/assets/images/medicine-placeholder.svg,Vildagliptin; Diabetes; Nuvista Pharma,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Vildagliptin
Vildagliptin 50mg Tablet ORIO,,Vildagliptin,Orion Pharma,Diabetes,50mg,Tablet,10 units/strip,MB-00576,8801602000576,21.40,20.12,15.69,136,tablet,MB240576,2028-01-15,yes,yes,/assets/images/medicine-placeholder.svg,Vildagliptin; Diabetes; Orion Pharma,Type 2 diabetes,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Vildagliptin
Empagliflozin 10mg Tablet SQUA,,Empagliflozin,Square Pharmaceuticals,Diabetes,10mg,Tablet,10 units/strip,MB-00577,8801602000577,22.05,20.73,16.17,137,tablet,MB240577,2029-02-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Square Pharmaceuticals,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 10mg Tablet BEXI,,Empagliflozin,Beximco Pharmaceuticals,Diabetes,10mg,Tablet,10 units/strip,MB-00578,8801602000578,22.05,20.73,16.17,138,tablet,MB240578,2030-03-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Beximco Pharmaceuticals,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 10mg Tablet INCE,,Empagliflozin,Incepta Pharmaceuticals,Diabetes,10mg,Tablet,10 units/strip,MB-00579,8801602000579,22.05,20.73,16.17,139,tablet,MB240579,2028-04-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Incepta Pharmaceuticals,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 10mg Tablet RENA,,Empagliflozin,Renata Limited,Diabetes,10mg,Tablet,10 units/strip,MB-00580,8801602000580,22.05,20.73,16.17,140,tablet,MB240580,2029-05-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Renata Limited,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 10mg Tablet OPSO,,Empagliflozin,Opsonin Pharma,Diabetes,10mg,Tablet,10 units/strip,MB-00581,8801602000581,22.05,20.73,16.17,141,tablet,MB240581,2030-06-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Opsonin Pharma,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 10mg Tablet ESKA,,Empagliflozin,Eskayef Pharmaceuticals,Diabetes,10mg,Tablet,10 units/strip,MB-00582,8801602000582,22.05,20.73,16.17,142,tablet,MB240582,2028-07-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Eskayef Pharmaceuticals,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 10mg Tablet ACI,,Empagliflozin,ACI Limited,Diabetes,10mg,Tablet,10 units/strip,MB-00583,8801602000583,22.05,20.73,16.17,143,tablet,MB240583,2029-08-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; ACI Limited,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 10mg Tablet ARIS,,Empagliflozin,Aristopharma,Diabetes,10mg,Tablet,10 units/strip,MB-00584,8801602000584,22.05,20.73,16.17,144,tablet,MB240584,2030-09-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Aristopharma,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 10mg Tablet HEAL,,Empagliflozin,Healthcare Pharmaceuticals,Diabetes,10mg,Tablet,10 units/strip,MB-00585,8801602000585,22.05,20.73,16.17,145,tablet,MB240585,2028-10-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Healthcare Pharmaceuticals,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 10mg Tablet DRUG,,Empagliflozin,Drug International,Diabetes,10mg,Tablet,10 units/strip,MB-00586,8801602000586,22.05,20.73,16.17,146,tablet,MB240586,2029-11-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Drug International,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 10mg Tablet ACME,,Empagliflozin,Acme Laboratories,Diabetes,10mg,Tablet,10 units/strip,MB-00587,8801602000587,22.05,20.73,16.17,147,tablet,MB240587,2030-12-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Acme Laboratories,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 10mg Tablet GENE,,Empagliflozin,General Pharmaceuticals,Diabetes,10mg,Tablet,10 units/strip,MB-00588,8801602000588,22.05,20.73,16.17,148,tablet,MB240588,2028-01-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; General Pharmaceuticals,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 10mg Tablet BEAC,,Empagliflozin,Beacon Pharmaceuticals,Diabetes,10mg,Tablet,10 units/strip,MB-00589,8801602000589,22.05,20.73,16.17,149,tablet,MB240589,2029-02-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Beacon Pharmaceuticals,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 10mg Tablet POPU,,Empagliflozin,Popular Pharmaceuticals,Diabetes,10mg,Tablet,10 units/strip,MB-00590,8801602000590,22.05,20.73,16.17,150,tablet,MB240590,2030-03-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Popular Pharmaceuticals,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 10mg Tablet NUVI,,Empagliflozin,Nuvista Pharma,Diabetes,10mg,Tablet,10 units/strip,MB-00591,8801602000591,22.05,20.73,16.17,151,tablet,MB240591,2028-04-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Nuvista Pharma,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 10mg Tablet ORIO,,Empagliflozin,Orion Pharma,Diabetes,10mg,Tablet,10 units/strip,MB-00592,8801602000592,22.05,20.73,16.17,152,tablet,MB240592,2029-05-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Orion Pharma,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 25mg Tablet SQUA,,Empagliflozin,Square Pharmaceuticals,Diabetes,25mg,Tablet,10 units/strip,MB-00593,8801602000593,22.05,20.73,16.17,153,tablet,MB240593,2030-06-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Square Pharmaceuticals,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 25mg Tablet BEXI,,Empagliflozin,Beximco Pharmaceuticals,Diabetes,25mg,Tablet,10 units/strip,MB-00594,8801602000594,22.05,20.73,16.17,154,tablet,MB240594,2028-07-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Beximco Pharmaceuticals,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 25mg Tablet INCE,,Empagliflozin,Incepta Pharmaceuticals,Diabetes,25mg,Tablet,10 units/strip,MB-00595,8801602000595,22.05,20.73,16.17,155,tablet,MB240595,2029-08-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Incepta Pharmaceuticals,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 25mg Tablet RENA,,Empagliflozin,Renata Limited,Diabetes,25mg,Tablet,10 units/strip,MB-00596,8801602000596,22.05,20.73,16.17,156,tablet,MB240596,2030-09-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Renata Limited,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 25mg Tablet OPSO,,Empagliflozin,Opsonin Pharma,Diabetes,25mg,Tablet,10 units/strip,MB-00597,8801602000597,22.05,20.73,16.17,157,tablet,MB240597,2028-10-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Opsonin Pharma,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 25mg Tablet ESKA,,Empagliflozin,Eskayef Pharmaceuticals,Diabetes,25mg,Tablet,10 units/strip,MB-00598,8801602000598,22.05,20.73,16.17,158,tablet,MB240598,2029-11-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Eskayef Pharmaceuticals,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 25mg Tablet ACI,,Empagliflozin,ACI Limited,Diabetes,25mg,Tablet,10 units/strip,MB-00599,8801602000599,22.05,20.73,16.17,159,tablet,MB240599,2030-12-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; ACI Limited,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
Empagliflozin 25mg Tablet ARIS,,Empagliflozin,Aristopharma,Diabetes,25mg,Tablet,10 units/strip,MB-00600,8801602000600,22.05,20.73,16.17,160,tablet,MB240600,2028-01-15,yes,yes,/assets/images/medicine-placeholder.svg,Empagliflozin; Diabetes; Aristopharma,Type 2 diabetes and heart failure,Use as directed by a registered physician.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Prescription required. Do not self-medicate.,Store below 30C in a dry place away from light.,Empagliflozin
